Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods bn_statistics_adaptation --models eegnet --seeds 3 --protocols single,multi --tag-suffix bn_statistics_adaptation_eegnet_s3
Node   : gpu01 | Start: Tue Jun  9 12:08:06 CST 2026
Tue Jun  9 12:08:07 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:01:00.0 Off |                  Off |
| 30%   42C    P0             50W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 12:08:10 | INFO    | train_session_alignment | device=cuda | cuda={'torch': '2.7.1+cu118', 'cuda_build': '11.8', 'cuda_available': True, 'device': 'cuda', 'device_name': 'NVIDIA GeForce RTX 4090 D'}
2026-06-09 12:08:10 | INFO    | train_session_alignment | loaded 148 ok sessions | methods=['bn_statistics_adaptation'] | models=['eegnet'] | seeds=[3] | groups=['single', 'multi'] | tasks=335
2026-06-09 12:08:22 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-001_ses01-to-ses02 seed=3 acc=0.7450 (ntr=160 nval=40 nte=200)
2026-06-09 12:08:31 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-001_ses01-to-ses03 seed=3 acc=0.7200 (ntr=160 nval=40 nte=200)
2026-06-09 12:08:48 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-001_ses02-to-ses01 seed=3 acc=0.6750 (ntr=160 nval=40 nte=200)
2026-06-09 12:09:06 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-001_ses02-to-ses03 seed=3 acc=0.9500 (ntr=160 nval=40 nte=200)
2026-06-09 12:09:14 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-001_ses03-to-ses01 seed=3 acc=0.6800 (ntr=160 nval=40 nte=200)
2026-06-09 12:09:21 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-001_ses03-to-ses02 seed=3 acc=0.8550 (ntr=160 nval=40 nte=200)
2026-06-09 12:09:26 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-002_ses01-to-ses02 seed=3 acc=0.6000 (ntr=160 nval=40 nte=200)
2026-06-09 12:09:31 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-002_ses01-to-ses03 seed=3 acc=0.6150 (ntr=160 nval=40 nte=200)
2026-06-09 12:09:38 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-002_ses02-to-ses01 seed=3 acc=0.5400 (ntr=160 nval=40 nte=200)
2026-06-09 12:09:45 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-002_ses02-to-ses03 seed=3 acc=0.6250 (ntr=160 nval=40 nte=200)
2026-06-09 12:09:55 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-002_ses03-to-ses01 seed=3 acc=0.6200 (ntr=160 nval=40 nte=200)
2026-06-09 12:10:05 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-002_ses03-to-ses02 seed=3 acc=0.6250 (ntr=160 nval=40 nte=200)
2026-06-09 12:10:16 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-003_ses01-to-ses02 seed=3 acc=0.7850 (ntr=160 nval=40 nte=200)
2026-06-09 12:10:27 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-003_ses01-to-ses03 seed=3 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 12:10:45 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-003_ses02-to-ses01 seed=3 acc=0.6750 (ntr=160 nval=40 nte=200)
2026-06-09 12:11:03 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-003_ses02-to-ses03 seed=3 acc=0.7450 (ntr=160 nval=40 nte=200)
2026-06-09 12:11:09 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-003_ses03-to-ses01 seed=3 acc=0.5400 (ntr=160 nval=40 nte=200)
2026-06-09 12:11:14 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-003_ses03-to-ses02 seed=3 acc=0.6050 (ntr=160 nval=40 nte=200)
2026-06-09 12:11:19 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-004_ses01-to-ses02 seed=3 acc=0.5450 (ntr=160 nval=40 nte=200)
2026-06-09 12:11:23 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-004_ses01-to-ses03 seed=3 acc=0.5450 (ntr=160 nval=40 nte=200)
2026-06-09 12:11:27 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-004_ses02-to-ses01 seed=3 acc=0.5000 (ntr=160 nval=40 nte=200)
2026-06-09 12:11:32 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-004_ses02-to-ses03 seed=3 acc=0.5300 (ntr=160 nval=40 nte=200)
2026-06-09 12:11:38 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-004_ses03-to-ses01 seed=3 acc=0.5100 (ntr=160 nval=40 nte=200)
2026-06-09 12:11:44 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-004_ses03-to-ses02 seed=3 acc=0.4800 (ntr=160 nval=40 nte=200)
2026-06-09 12:11:52 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-005_ses01-to-ses02 seed=3 acc=0.8550 (ntr=160 nval=40 nte=200)
2026-06-09 12:12:01 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-005_ses01-to-ses03 seed=3 acc=0.6050 (ntr=160 nval=40 nte=200)
2026-06-09 12:12:09 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-005_ses02-to-ses01 seed=3 acc=0.8150 (ntr=160 nval=40 nte=200)
2026-06-09 12:12:16 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-005_ses02-to-ses03 seed=3 acc=0.6100 (ntr=160 nval=40 nte=200)
