========================================================
Project : /share/home/yuan/SYX/eeg-mi-online
Env     : mi_torch_cu118
Args    : --config configs/session_model_compare.yaml --models eegnet,deepconvnet,fbcnet --protocol cross --seeds 4
Node    : gpu01  |  Start: Sun Jun  7 12:43:00 CST 2026
========================================================
[env] python: /share/home/yuan/.conda/envs/mi_torch_cu118/bin/python | CONDA_DEFAULT_ENV=mi_torch_cu118
Sun Jun  7 12:43:00 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:A1:00.0 Off |                  Off |
| 30%   43C    P0             60W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-07 12:43:04 | INFO    | train_session_models | device=cuda | cuda={'torch': '2.7.1+cu118', 'cuda_build': '11.8', 'cuda_available': True, 'device': 'cuda', 'device_name': 'NVIDIA GeForce RTX 4090 D'}
2026-06-07 12:43:04 | INFO    | train_session_models | loaded 148 ok sessions across 51 subjects | models=['eegnet', 'deepconvnet', 'fbcnet'] | protocols=['cross'] | seeds=[4] | folds=10
2026-06-07 12:43:04 | INFO    | train_session_models | === RUN cross__eegnet ===
2026-06-07 12:44:44 | INFO    | train_session_models | [cross] eegnet      sub-001 seed=4 mean_acc=0.8358 (6 pairs)
2026-06-07 12:45:18 | INFO    | train_session_models | [cross] eegnet      sub-002 seed=4 mean_acc=0.6258 (6 pairs)
2026-06-07 12:46:56 | INFO    | train_session_models | [cross] eegnet      sub-003 seed=4 mean_acc=0.6750 (6 pairs)
2026-06-07 12:47:24 | INFO    | train_session_models | [cross] eegnet      sub-004 seed=4 mean_acc=0.4975 (6 pairs)
2026-06-07 12:48:25 | INFO    | train_session_models | [cross] eegnet      sub-005 seed=4 mean_acc=0.7483 (6 pairs)
2026-06-07 12:49:42 | INFO    | train_session_models | [cross] eegnet      sub-006 seed=4 mean_acc=0.8450 (6 pairs)
2026-06-07 12:50:20 | INFO    | train_session_models | [cross] eegnet      sub-007 seed=4 mean_acc=0.6425 (6 pairs)
2026-06-07 12:51:17 | INFO    | train_session_models | [cross] eegnet      sub-008 seed=4 mean_acc=0.6717 (6 pairs)
2026-06-07 12:51:52 | INFO    | train_session_models | [cross] eegnet      sub-009 seed=4 mean_acc=0.6242 (6 pairs)
2026-06-07 12:52:51 | INFO    | train_session_models | [cross] eegnet      sub-010 seed=4 mean_acc=0.6167 (6 pairs)
2026-06-07 12:53:36 | INFO    | train_session_models | [cross] eegnet      sub-011 seed=4 mean_acc=0.8333 (6 pairs)
2026-06-07 12:53:59 | INFO    | train_session_models | [cross] eegnet      sub-012 seed=4 mean_acc=0.5400 (6 pairs)
2026-06-07 12:54:54 | INFO    | train_session_models | [cross] eegnet      sub-013 seed=4 mean_acc=0.7175 (6 pairs)
2026-06-07 12:55:17 | INFO    | train_session_models | [cross] eegnet      sub-014 seed=4 mean_acc=0.4742 (6 pairs)
2026-06-07 12:55:54 | INFO    | train_session_models | [cross] eegnet      sub-015 seed=4 mean_acc=0.5442 (6 pairs)
2026-06-07 12:56:21 | INFO    | train_session_models | [cross] eegnet      sub-016 seed=4 mean_acc=0.5083 (6 pairs)
2026-06-07 12:57:19 | INFO    | train_session_models | [cross] eegnet      sub-017 seed=4 mean_acc=0.6758 (6 pairs)
2026-06-07 12:58:00 | INFO    | train_session_models | [cross] eegnet      sub-018 seed=4 mean_acc=0.6617 (6 pairs)
2026-06-07 12:58:50 | INFO    | train_session_models | [cross] eegnet      sub-019 seed=4 mean_acc=0.5833 (6 pairs)
2026-06-07 13:00:22 | INFO    | train_session_models | [cross] eegnet      sub-020 seed=4 mean_acc=0.5933 (6 pairs)
2026-06-07 13:01:19 | INFO    | train_session_models | [cross] eegnet      sub-021 seed=4 mean_acc=0.6992 (6 pairs)
2026-06-07 13:01:58 | INFO    | train_session_models | [cross] eegnet      sub-022 seed=4 mean_acc=0.5558 (6 pairs)
2026-06-07 13:02:32 | INFO    | train_session_models | [cross] eegnet      sub-023 seed=4 mean_acc=0.8025 (2 pairs)
2026-06-07 13:02:32 | INFO    | train_session_models | [cross] sub-024 has <2 ok sessions; skipped.
2026-06-07 13:03:01 | INFO    | train_session_models | [cross] eegnet      sub-025 seed=4 mean_acc=0.8317 (6 pairs)
2026-06-07 13:03:24 | INFO    | train_session_models | [cross] eegnet      sub-026 seed=4 mean_acc=0.8275 (2 pairs)
2026-06-07 13:04:17 | INFO    | train_session_models | [cross] eegnet      sub-027 seed=4 mean_acc=0.6642 (6 pairs)
2026-06-07 13:05:28 | INFO    | train_session_models | [cross] eegnet      sub-028 seed=4 mean_acc=0.6383 (6 pairs)
2026-06-07 13:06:17 | INFO    | train_session_models | [cross] eegnet      sub-029 seed=4 mean_acc=0.5408 (6 pairs)
2026-06-07 13:07:06 | INFO    | train_session_models | [cross] eegnet      sub-030 seed=4 mean_acc=0.7783 (6 pairs)
2026-06-07 13:07:50 | INFO    | train_session_models | [cross] eegnet      sub-031 seed=4 mean_acc=0.6850 (6 pairs)
2026-06-07 13:07:59 | INFO    | train_session_models | [cross] eegnet      sub-032 seed=4 mean_acc=0.5625 (2 pairs)
2026-06-07 13:09:28 | INFO    | train_session_models | [cross] eegnet      sub-033 seed=4 mean_acc=0.9183 (6 pairs)
2026-06-07 13:10:36 | INFO    | train_session_models | [cross] eegnet      sub-034 seed=4 mean_acc=0.7792 (6 pairs)
2026-06-07 13:12:00 | INFO    | train_session_models | [cross] eegnet      sub-035 seed=4 mean_acc=0.9283 (6 pairs)
