Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods filterbank_reweighting --models deepconvnet --seeds 2 --protocols single,multi --tag-suffix filterbank_reweighting_deepconvnet_s2
Node   : gpu01 | Start: Tue Jun  9 16:01:55 CST 2026
Tue Jun  9 16:01:56 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:41:00.0 Off |                  Off |
| 34%   44C    P0             59W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 16:01:59 | INFO    | train_session_alignment | device=cuda | cuda={'torch': '2.7.1+cu118', 'cuda_build': '11.8', 'cuda_available': True, 'device': 'cuda', 'device_name': 'NVIDIA GeForce RTX 4090 D'}
2026-06-09 16:01:59 | INFO    | train_session_alignment | loaded 148 ok sessions | methods=['filterbank_reweighting'] | models=['deepconvnet'] | seeds=[2] | groups=['single', 'multi'] | tasks=335
2026-06-09 16:02:09 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-001_ses01-to-ses02 seed=2 acc=0.6500 (ntr=160 nval=40 nte=200)
2026-06-09 16:02:18 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-001_ses01-to-ses03 seed=2 acc=0.6350 (ntr=160 nval=40 nte=200)
2026-06-09 16:02:40 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-001_ses02-to-ses01 seed=2 acc=0.7050 (ntr=160 nval=40 nte=200)
2026-06-09 16:03:02 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-001_ses02-to-ses03 seed=2 acc=0.9550 (ntr=160 nval=40 nte=200)
2026-06-09 16:03:22 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-001_ses03-to-ses01 seed=2 acc=0.6050 (ntr=160 nval=40 nte=200)
2026-06-09 16:03:42 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-001_ses03-to-ses02 seed=2 acc=0.9600 (ntr=160 nval=40 nte=200)
2026-06-09 16:03:52 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-002_ses01-to-ses02 seed=2 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 16:04:03 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-002_ses01-to-ses03 seed=2 acc=0.5800 (ntr=160 nval=40 nte=200)
2026-06-09 16:04:11 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-002_ses02-to-ses01 seed=2 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 16:04:20 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-002_ses02-to-ses03 seed=2 acc=0.5350 (ntr=160 nval=40 nte=200)
2026-06-09 16:04:30 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-002_ses03-to-ses01 seed=2 acc=0.5800 (ntr=160 nval=40 nte=200)
