Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods bn_statistics_adaptation --models eegnet --seeds 4 --protocols single,multi --tag-suffix bn_statistics_adaptation_eegnet_s4
Node   : gpu01 | Start: Tue Jun  9 12:16:30 CST 2026
Tue Jun  9 12:16:30 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:21:00.0 Off |                  Off |
| 30%   42C    P0             66W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 12:16:33 | INFO    | train_session_alignment | device=cuda | cuda={'torch': '2.7.1+cu118', 'cuda_build': '11.8', 'cuda_available': True, 'device': 'cuda', 'device_name': 'NVIDIA GeForce RTX 4090 D'}
2026-06-09 12:16:33 | INFO    | train_session_alignment | loaded 148 ok sessions | methods=['bn_statistics_adaptation'] | models=['eegnet'] | seeds=[4] | groups=['single', 'multi'] | tasks=335
2026-06-09 12:16:49 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-001_ses01-to-ses02 seed=4 acc=0.8200 (ntr=160 nval=40 nte=200)
2026-06-09 12:17:01 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-001_ses01-to-ses03 seed=4 acc=0.8100 (ntr=160 nval=40 nte=200)
2026-06-09 12:17:19 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-001_ses02-to-ses01 seed=4 acc=0.7550 (ntr=160 nval=40 nte=200)
2026-06-09 12:17:36 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-001_ses02-to-ses03 seed=4 acc=0.9600 (ntr=160 nval=40 nte=200)
2026-06-09 12:17:51 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-001_ses03-to-ses01 seed=4 acc=0.7500 (ntr=160 nval=40 nte=200)
2026-06-09 12:18:05 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-001_ses03-to-ses02 seed=4 acc=0.9600 (ntr=160 nval=40 nte=200)
2026-06-09 12:18:11 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-002_ses01-to-ses02 seed=4 acc=0.6300 (ntr=160 nval=40 nte=200)
2026-06-09 12:18:17 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-002_ses01-to-ses03 seed=4 acc=0.6500 (ntr=160 nval=40 nte=200)
2026-06-09 12:18:21 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-002_ses02-to-ses01 seed=4 acc=0.5700 (ntr=160 nval=40 nte=200)
2026-06-09 12:18:26 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-002_ses02-to-ses03 seed=4 acc=0.5900 (ntr=160 nval=40 nte=200)
2026-06-09 12:18:33 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-002_ses03-to-ses01 seed=4 acc=0.6000 (ntr=160 nval=40 nte=200)
2026-06-09 12:18:40 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-002_ses03-to-ses02 seed=4 acc=0.6600 (ntr=160 nval=40 nte=200)
2026-06-09 12:18:52 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-003_ses01-to-ses02 seed=4 acc=0.8750 (ntr=160 nval=40 nte=200)
2026-06-09 12:19:03 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-003_ses01-to-ses03 seed=4 acc=0.6400 (ntr=160 nval=40 nte=200)
2026-06-09 12:19:21 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-003_ses02-to-ses01 seed=4 acc=0.7350 (ntr=160 nval=40 nte=200)
2026-06-09 12:19:37 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-003_ses02-to-ses03 seed=4 acc=0.6950 (ntr=160 nval=40 nte=200)
2026-06-09 12:19:55 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-003_ses03-to-ses01 seed=4 acc=0.4950 (ntr=160 nval=40 nte=200)
2026-06-09 12:20:11 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-003_ses03-to-ses02 seed=4 acc=0.5950 (ntr=160 nval=40 nte=200)
2026-06-09 12:20:16 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-004_ses01-to-ses02 seed=4 acc=0.5350 (ntr=160 nval=40 nte=200)
2026-06-09 12:20:21 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-004_ses01-to-ses03 seed=4 acc=0.4250 (ntr=160 nval=40 nte=200)
2026-06-09 12:20:25 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-004_ses02-to-ses01 seed=4 acc=0.4800 (ntr=160 nval=40 nte=200)
2026-06-09 12:20:29 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-004_ses02-to-ses03 seed=4 acc=0.4800 (ntr=160 nval=40 nte=200)
2026-06-09 12:20:34 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-004_ses03-to-ses01 seed=4 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 12:20:40 | INFO    | train_session_alignment | [align] bn_statistics_adaptation eegnet      single_sub-004_ses03-to-ses02 seed=4 acc=0.5400 (ntr=160 nval=40 nte=200)
