Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods euclidean_alignment --models fbcnet --seeds 4 --protocols single,multi --tag-suffix euclidean_alignment_fbcnet_s4
Node   : gpu01 | Start: Tue Jun  9 07:45:16 CST 2026
Tue Jun  9 07:45:17 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:21:00.0 Off |                  Off |
| 39%   44C    P0             66W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 07:45:20 | INFO    | train_session_alignment | device=cuda | cuda={'torch': '2.7.1+cu118', 'cuda_build': '11.8', 'cuda_available': True, 'device': 'cuda', 'device_name': 'NVIDIA GeForce RTX 4090 D'}
2026-06-09 07:45:20 | INFO    | train_session_alignment | loaded 148 ok sessions | methods=['euclidean_alignment'] | models=['fbcnet'] | seeds=[4] | groups=['single', 'multi'] | tasks=335
2026-06-09 07:45:29 | INFO    | train_session_alignment | [align] euclidean_alignment    fbcnet      single_sub-001_ses01-to-ses02 seed=4 acc=0.6300 (ntr=160 nval=40 nte=200)
2026-06-09 07:45:38 | INFO    | train_session_alignment | [align] euclidean_alignment    fbcnet      single_sub-001_ses01-to-ses03 seed=4 acc=0.6200 (ntr=160 nval=40 nte=200)
2026-06-09 07:45:54 | INFO    | train_session_alignment | [align] euclidean_alignment    fbcnet      single_sub-001_ses02-to-ses01 seed=4 acc=0.6350 (ntr=160 nval=40 nte=200)
2026-06-09 07:46:11 | INFO    | train_session_alignment | [align] euclidean_alignment    fbcnet      single_sub-001_ses02-to-ses03 seed=4 acc=0.8650 (ntr=160 nval=40 nte=200)
2026-06-09 07:46:27 | INFO    | train_session_alignment | [align] euclidean_alignment    fbcnet      single_sub-001_ses03-to-ses01 seed=4 acc=0.6950 (ntr=160 nval=40 nte=200)
2026-06-09 07:46:43 | INFO    | train_session_alignment | [align] euclidean_alignment    fbcnet      single_sub-001_ses03-to-ses02 seed=4 acc=0.8400 (ntr=160 nval=40 nte=200)
2026-06-09 07:46:57 | INFO    | train_session_alignment | [align] euclidean_alignment    fbcnet      single_sub-002_ses01-to-ses02 seed=4 acc=0.4800 (ntr=160 nval=40 nte=200)
2026-06-09 07:47:10 | INFO    | train_session_alignment | [align] euclidean_alignment    fbcnet      single_sub-002_ses01-to-ses03 seed=4 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 07:47:16 | INFO    | train_session_alignment | [align] euclidean_alignment    fbcnet      single_sub-002_ses02-to-ses01 seed=4 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 07:47:22 | INFO    | train_session_alignment | [align] euclidean_alignment    fbcnet      single_sub-002_ses02-to-ses03 seed=4 acc=0.5600 (ntr=160 nval=40 nte=200)
2026-06-09 07:47:28 | INFO    | train_session_alignment | [align] euclidean_alignment    fbcnet      single_sub-002_ses03-to-ses01 seed=4 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 07:47:34 | INFO    | train_session_alignment | [align] euclidean_alignment    fbcnet      single_sub-002_ses03-to-ses02 seed=4 acc=0.5650 (ntr=160 nval=40 nte=200)
2026-06-09 07:47:48 | INFO    | train_session_alignment | [align] euclidean_alignment    fbcnet      single_sub-003_ses01-to-ses02 seed=4 acc=0.7450 (ntr=160 nval=40 nte=200)
2026-06-09 07:48:01 | INFO    | train_session_alignment | [align] euclidean_alignment    fbcnet      single_sub-003_ses01-to-ses03 seed=4 acc=0.5000 (ntr=160 nval=40 nte=200)
