Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods session_zscore --models fbcnet --seeds 4 --protocols single,multi --tag-suffix session_zscore_fbcnet_s4
Node   : gpu01 | Start: Tue Jun  9 04:32:33 CST 2026
Tue Jun  9 04:32:33 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:41:00.0 Off |                  Off |
| 46%   45C    P0             62W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 04:32:36 | INFO    | train_session_alignment | device=cuda | cuda={'torch': '2.7.1+cu118', 'cuda_build': '11.8', 'cuda_available': True, 'device': 'cuda', 'device_name': 'NVIDIA GeForce RTX 4090 D'}
2026-06-09 04:32:36 | INFO    | train_session_alignment | loaded 148 ok sessions | methods=['session_zscore'] | models=['fbcnet'] | seeds=[4] | groups=['single', 'multi'] | tasks=335
2026-06-09 04:32:48 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-001_ses01-to-ses02 seed=4 acc=0.7050 (ntr=160 nval=40 nte=200)
2026-06-09 04:32:58 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-001_ses01-to-ses03 seed=4 acc=0.6550 (ntr=160 nval=40 nte=200)
2026-06-09 04:33:09 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-001_ses02-to-ses01 seed=4 acc=0.6200 (ntr=160 nval=40 nte=200)
2026-06-09 04:33:19 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-001_ses02-to-ses03 seed=4 acc=0.7850 (ntr=160 nval=40 nte=200)
2026-06-09 04:33:28 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-001_ses03-to-ses01 seed=4 acc=0.6100 (ntr=160 nval=40 nte=200)
2026-06-09 04:33:36 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-001_ses03-to-ses02 seed=4 acc=0.8100 (ntr=160 nval=40 nte=200)
2026-06-09 04:33:41 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-002_ses01-to-ses02 seed=4 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 04:33:45 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-002_ses01-to-ses03 seed=4 acc=0.5200 (ntr=160 nval=40 nte=200)
2026-06-09 04:33:49 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-002_ses02-to-ses01 seed=4 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 04:33:53 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-002_ses02-to-ses03 seed=4 acc=0.6150 (ntr=160 nval=40 nte=200)
2026-06-09 04:33:59 | INFO    | train_session_alignment | [align] session_zscore         fbcnet      single_sub-002_ses03-to-ses01 seed=4 acc=0.5300 (ntr=160 nval=40 nte=200)
