Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods session_zscore --models eegnet --seeds 2 --protocols single,multi --tag-suffix session_zscore_eegnet_s2
Node   : gpu01 | Start: Tue Jun  9 02:06:11 CST 2026
Tue Jun  9 02:06:11 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:61:00.0 Off |                  Off |
| 30%   27C    P8             17W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 02:06:14 | INFO    | train_session_alignment | device=cuda | cuda={'torch': '2.7.1+cu118', 'cuda_build': '11.8', 'cuda_available': True, 'device': 'cuda', 'device_name': 'NVIDIA GeForce RTX 4090 D'}
2026-06-09 02:06:14 | INFO    | train_session_alignment | loaded 148 ok sessions | methods=['session_zscore'] | models=['eegnet'] | seeds=[2] | groups=['single', 'multi'] | tasks=335
2026-06-09 02:06:28 | INFO    | train_session_alignment | [align] session_zscore         eegnet      single_sub-001_ses01-to-ses02 seed=2 acc=0.8200 (ntr=160 nval=40 nte=200)
2026-06-09 02:06:40 | INFO    | train_session_alignment | [align] session_zscore         eegnet      single_sub-001_ses01-to-ses03 seed=2 acc=0.7950 (ntr=160 nval=40 nte=200)
2026-06-09 02:06:47 | INFO    | train_session_alignment | [align] session_zscore         eegnet      single_sub-001_ses02-to-ses01 seed=2 acc=0.6150 (ntr=160 nval=40 nte=200)
2026-06-09 02:06:53 | INFO    | train_session_alignment | [align] session_zscore         eegnet      single_sub-001_ses02-to-ses03 seed=2 acc=0.8650 (ntr=160 nval=40 nte=200)
2026-06-09 02:07:13 | INFO    | train_session_alignment | [align] session_zscore         eegnet      single_sub-001_ses03-to-ses01 seed=2 acc=0.7050 (ntr=160 nval=40 nte=200)
2026-06-09 02:07:32 | INFO    | train_session_alignment | [align] session_zscore         eegnet      single_sub-001_ses03-to-ses02 seed=2 acc=0.9400 (ntr=160 nval=40 nte=200)
2026-06-09 02:07:37 | INFO    | train_session_alignment | [align] session_zscore         eegnet      single_sub-002_ses01-to-ses02 seed=2 acc=0.5700 (ntr=160 nval=40 nte=200)
2026-06-09 02:07:43 | INFO    | train_session_alignment | [align] session_zscore         eegnet      single_sub-002_ses01-to-ses03 seed=2 acc=0.5800 (ntr=160 nval=40 nte=200)
2026-06-09 02:07:49 | INFO    | train_session_alignment | [align] session_zscore         eegnet      single_sub-002_ses02-to-ses01 seed=2 acc=0.5800 (ntr=160 nval=40 nte=200)
2026-06-09 02:07:55 | INFO    | train_session_alignment | [align] session_zscore         eegnet      single_sub-002_ses02-to-ses03 seed=2 acc=0.6250 (ntr=160 nval=40 nte=200)
2026-06-09 02:08:02 | INFO    | train_session_alignment | [align] session_zscore         eegnet      single_sub-002_ses03-to-ses01 seed=2 acc=0.5850 (ntr=160 nval=40 nte=200)
2026-06-09 02:08:09 | INFO    | train_session_alignment | [align] session_zscore         eegnet      single_sub-002_ses03-to-ses02 seed=2 acc=0.6550 (ntr=160 nval=40 nte=200)
2026-06-09 02:08:17 | INFO    | train_session_alignment | [align] session_zscore         eegnet      single_sub-003_ses01-to-ses02 seed=2 acc=0.8600 (ntr=160 nval=40 nte=200)
2026-06-09 02:08:26 | INFO    | train_session_alignment | [align] session_zscore         eegnet      single_sub-003_ses01-to-ses03 seed=2 acc=0.8800 (ntr=160 nval=40 nte=200)
2026-06-09 02:08:32 | INFO    | train_session_alignment | [align] session_zscore         eegnet      single_sub-003_ses02-to-ses01 seed=2 acc=0.7150 (ntr=160 nval=40 nte=200)
