Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods filterbank_reweighting --models deepconvnet --seeds 3 --protocols single,multi --tag-suffix filterbank_reweighting_deepconvnet_s3
Node   : gpu01 | Start: Tue Jun  9 16:50:00 CST 2026
Tue Jun  9 16:50:00 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:01:00.0 Off |                  Off |
| 30%   43C    P0             50W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 16:50:04 | INFO    | train_session_alignment | device=cuda | cuda={'torch': '2.7.1+cu118', 'cuda_build': '11.8', 'cuda_available': True, 'device': 'cuda', 'device_name': 'NVIDIA GeForce RTX 4090 D'}
2026-06-09 16:50:04 | INFO    | train_session_alignment | loaded 148 ok sessions | methods=['filterbank_reweighting'] | models=['deepconvnet'] | seeds=[3] | groups=['single', 'multi'] | tasks=335
2026-06-09 16:50:16 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-001_ses01-to-ses02 seed=3 acc=0.6750 (ntr=160 nval=40 nte=200)
2026-06-09 16:50:27 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-001_ses01-to-ses03 seed=3 acc=0.6700 (ntr=160 nval=40 nte=200)
2026-06-09 16:50:37 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-001_ses02-to-ses01 seed=3 acc=0.7350 (ntr=160 nval=40 nte=200)
2026-06-09 16:50:48 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-001_ses02-to-ses03 seed=3 acc=0.9400 (ntr=160 nval=40 nte=200)
2026-06-09 16:51:11 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-001_ses03-to-ses01 seed=3 acc=0.5400 (ntr=160 nval=40 nte=200)
2026-06-09 16:51:33 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-001_ses03-to-ses02 seed=3 acc=0.9450 (ntr=160 nval=40 nte=200)
2026-06-09 16:51:42 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-002_ses01-to-ses02 seed=3 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 16:51:50 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-002_ses01-to-ses03 seed=3 acc=0.5600 (ntr=160 nval=40 nte=200)
2026-06-09 16:51:58 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-002_ses02-to-ses01 seed=3 acc=0.4850 (ntr=160 nval=40 nte=200)
2026-06-09 16:52:05 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-002_ses02-to-ses03 seed=3 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 16:52:21 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-002_ses03-to-ses01 seed=3 acc=0.6000 (ntr=160 nval=40 nte=200)
2026-06-09 16:52:37 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-002_ses03-to-ses02 seed=3 acc=0.5850 (ntr=160 nval=40 nte=200)
2026-06-09 16:52:48 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-003_ses01-to-ses02 seed=3 acc=0.9000 (ntr=160 nval=40 nte=200)
2026-06-09 16:52:58 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-003_ses01-to-ses03 seed=3 acc=0.8950 (ntr=160 nval=40 nte=200)
2026-06-09 16:53:09 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-003_ses02-to-ses01 seed=3 acc=0.9100 (ntr=160 nval=40 nte=200)
2026-06-09 16:53:20 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-003_ses02-to-ses03 seed=3 acc=0.9250 (ntr=160 nval=40 nte=200)
2026-06-09 16:53:30 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-003_ses03-to-ses01 seed=3 acc=0.8650 (ntr=160 nval=40 nte=200)
2026-06-09 16:53:40 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-003_ses03-to-ses02 seed=3 acc=0.7250 (ntr=160 nval=40 nte=200)
2026-06-09 16:53:47 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-004_ses01-to-ses02 seed=3 acc=0.5050 (ntr=160 nval=40 nte=200)
2026-06-09 16:53:54 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-004_ses01-to-ses03 seed=3 acc=0.5550 (ntr=160 nval=40 nte=200)
2026-06-09 16:54:04 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-004_ses02-to-ses01 seed=3 acc=0.4700 (ntr=160 nval=40 nte=200)
2026-06-09 16:54:13 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-004_ses02-to-ses03 seed=3 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 16:54:23 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-004_ses03-to-ses01 seed=3 acc=0.5150 (ntr=160 nval=40 nte=200)
2026-06-09 16:54:33 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-004_ses03-to-ses02 seed=3 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 16:54:48 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-005_ses01-to-ses02 seed=3 acc=0.8100 (ntr=160 nval=40 nte=200)
2026-06-09 16:55:03 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-005_ses01-to-ses03 seed=3 acc=0.7750 (ntr=160 nval=40 nte=200)
2026-06-09 16:55:11 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-005_ses02-to-ses01 seed=3 acc=0.5100 (ntr=160 nval=40 nte=200)
2026-06-09 16:55:18 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-005_ses02-to-ses03 seed=3 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 16:55:35 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-005_ses03-to-ses01 seed=3 acc=0.9200 (ntr=160 nval=40 nte=200)
2026-06-09 16:55:52 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-005_ses03-to-ses02 seed=3 acc=0.8850 (ntr=160 nval=40 nte=200)
2026-06-09 16:56:00 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-006_ses01-to-ses02 seed=3 acc=0.8000 (ntr=160 nval=40 nte=200)
2026-06-09 16:56:08 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-006_ses01-to-ses03 seed=3 acc=0.8600 (ntr=160 nval=40 nte=200)
2026-06-09 16:56:21 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-006_ses02-to-ses01 seed=3 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 16:56:35 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-006_ses02-to-ses03 seed=3 acc=0.8750 (ntr=160 nval=40 nte=200)
2026-06-09 16:56:43 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-006_ses03-to-ses01 seed=3 acc=0.7850 (ntr=160 nval=40 nte=200)
2026-06-09 16:56:51 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-006_ses03-to-ses02 seed=3 acc=0.8700 (ntr=160 nval=40 nte=200)
2026-06-09 16:56:58 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-007_ses01-to-ses02 seed=3 acc=0.5100 (ntr=160 nval=40 nte=200)
2026-06-09 16:57:06 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-007_ses01-to-ses03 seed=3 acc=0.4900 (ntr=160 nval=40 nte=200)
2026-06-09 16:57:19 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-007_ses02-to-ses01 seed=3 acc=0.6050 (ntr=160 nval=40 nte=200)
2026-06-09 16:57:32 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-007_ses02-to-ses03 seed=3 acc=0.8150 (ntr=160 nval=40 nte=200)
2026-06-09 16:57:42 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-007_ses03-to-ses01 seed=3 acc=0.5800 (ntr=160 nval=40 nte=200)
2026-06-09 16:57:52 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-007_ses03-to-ses02 seed=3 acc=0.6050 (ntr=160 nval=40 nte=200)
2026-06-09 16:58:10 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-008_ses01-to-ses02 seed=3 acc=0.8350 (ntr=160 nval=40 nte=200)
2026-06-09 16:58:29 | INFO    | train_session_alignment | [align] filterbank_reweighting deepconvnet single_sub-008_ses01-to-ses03 seed=3 acc=0.8150 (ntr=160 nval=40 nte=200)
