Project: /share/home/yuan/SYX/eeg-mi-online
Env    : mi_torch_cu118
Args   : --methods filterbank_reweighting --models eegnet --seeds 2 --protocols single,multi --tag-suffix filterbank_reweighting_eegnet_s2
Node   : gpu01 | Start: Tue Jun  9 14:54:09 CST 2026
Tue Jun  9 14:54:10 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.153.02             Driver Version: 570.153.02     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA GeForce RTX 4090 D      On  |   00000000:61:00.0 Off |                  Off |
| 38%   44C    P0             59W /  425W |       1MiB /  24564MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[cuda-check] torch=2.7.1+cu118 cuda_build=11.8 cuda_avail=True
2026-06-09 14:54:13 | INFO    | train_session_alignment | device=cuda | cuda={'torch': '2.7.1+cu118', 'cuda_build': '11.8', 'cuda_available': True, 'device': 'cuda', 'device_name': 'NVIDIA GeForce RTX 4090 D'}
2026-06-09 14:54:13 | INFO    | train_session_alignment | loaded 148 ok sessions | methods=['filterbank_reweighting'] | models=['eegnet'] | seeds=[2] | groups=['single', 'multi'] | tasks=335
2026-06-09 14:54:26 | INFO    | train_session_alignment | [align] filterbank_reweighting eegnet      single_sub-001_ses01-to-ses02 seed=2 acc=0.8100 (ntr=160 nval=40 nte=200)
2026-06-09 14:54:38 | INFO    | train_session_alignment | [align] filterbank_reweighting eegnet      single_sub-001_ses01-to-ses03 seed=2 acc=0.8050 (ntr=160 nval=40 nte=200)
2026-06-09 14:54:46 | INFO    | train_session_alignment | [align] filterbank_reweighting eegnet      single_sub-001_ses02-to-ses01 seed=2 acc=0.6300 (ntr=160 nval=40 nte=200)
2026-06-09 14:54:55 | INFO    | train_session_alignment | [align] filterbank_reweighting eegnet      single_sub-001_ses02-to-ses03 seed=2 acc=0.9700 (ntr=160 nval=40 nte=200)
2026-06-09 14:55:14 | INFO    | train_session_alignment | [align] filterbank_reweighting eegnet      single_sub-001_ses03-to-ses01 seed=2 acc=0.7350 (ntr=160 nval=40 nte=200)
2026-06-09 14:55:33 | INFO    | train_session_alignment | [align] filterbank_reweighting eegnet      single_sub-001_ses03-to-ses02 seed=2 acc=0.9550 (ntr=160 nval=40 nte=200)
2026-06-09 14:55:40 | INFO    | train_session_alignment | [align] filterbank_reweighting eegnet      single_sub-002_ses01-to-ses02 seed=2 acc=0.5200 (ntr=160 nval=40 nte=200)
2026-06-09 14:55:47 | INFO    | train_session_alignment | [align] filterbank_reweighting eegnet      single_sub-002_ses01-to-ses03 seed=2 acc=0.5750 (ntr=160 nval=40 nte=200)
2026-06-09 14:55:53 | INFO    | train_session_alignment | [align] filterbank_reweighting eegnet      single_sub-002_ses02-to-ses01 seed=2 acc=0.4550 (ntr=160 nval=40 nte=200)
2026-06-09 14:55:59 | INFO    | train_session_alignment | [align] filterbank_reweighting eegnet      single_sub-002_ses02-to-ses03 seed=2 acc=0.5250 (ntr=160 nval=40 nte=200)
2026-06-09 14:56:09 | INFO    | train_session_alignment | [align] filterbank_reweighting eegnet      single_sub-002_ses03-to-ses01 seed=2 acc=0.5850 (ntr=160 nval=40 nte=200)
2026-06-09 14:56:19 | INFO    | train_session_alignment | [align] filterbank_reweighting eegnet      single_sub-002_ses03-to-ses02 seed=2 acc=0.5500 (ntr=160 nval=40 nte=200)
2026-06-09 14:56:30 | INFO    | train_session_alignment | [align] filterbank_reweighting eegnet      single_sub-003_ses01-to-ses02 seed=2 acc=0.9450 (ntr=160 nval=40 nte=200)
2026-06-09 14:56:41 | INFO    | train_session_alignment | [align] filterbank_reweighting eegnet      single_sub-003_ses01-to-ses03 seed=2 acc=0.9150 (ntr=160 nval=40 nte=200)
2026-06-09 14:56:59 | INFO    | train_session_alignment | [align] filterbank_reweighting eegnet      single_sub-003_ses02-to-ses01 seed=2 acc=0.8500 (ntr=160 nval=40 nte=200)
2026-06-09 14:57:18 | INFO    | train_session_alignment | [align] filterbank_reweighting eegnet      single_sub-003_ses02-to-ses03 seed=2 acc=0.7800 (ntr=160 nval=40 nte=200)
